timeline_id,risk_entity_id,candidate_id,tenant_id,month,purchase_count,purchase_amount_display,purchase_quantity_display,last_purchase_date,days_since_last_purchase,risk_probability_display,palive_display,display_note
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00014327|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00014327|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YLNS00014327|ZA04CBH0205010303704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL411400|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL411400|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL411400|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YL652102|ZA04CBH0205010503704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL652102|ZA04CBH0205010503704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL652102|ZA04CBH0205010503704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL445618|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL445618|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL445618|XA12CBP084X001010403705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL360705|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL360705|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL360705|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YL6574037|ZA04CBH0205010303704|H6,43B3F24E6895475BA3EA1CD00FA74CE0|YL6574037|ZA04CBH0205010303704|H6,43B3F24E6895475BA3EA1CD00FA74CE0|YL6574037|ZA04CBH0205010303704|H6,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL6577038|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6577038|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL6577038|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YL6581430|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL6581430|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL6581430|ZA04CBH0205010303704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YL651842|ZA04CBH0205010503704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL651842|ZA04CBH0205010503704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL651842|ZA04CBH0205010503704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL651964|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL651964|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL651964|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL650836|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL650836|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL650836|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL5100371|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL5100371|XA12CBP084X001010403705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL5100371|XA12CBP084X001010403705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL140733|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL140733|ZA01BAS0839020103705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL140733|ZA01BAS0839020103705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL500002|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL500002|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL500002|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL650172|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL650172|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL650172|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_F9BDA11C2EE443F49615B9AD6AFBD4AA|YL621899|XJ01CAA040E001010303712|H3,F9BDA11C2EE443F49615B9AD6AFBD4AA|YL621899|XJ01CAA040E001010303712|H3,F9BDA11C2EE443F49615B9AD6AFBD4AA|YL621899|XJ01CAA040E001010303712|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL515204|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL515204|XA12AAF426X001010203705|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL515204|XA12AAF426X001010203705|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL360196|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL360196|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL360196|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_43B3F24E6895475BA3EA1CD00FA74CE0|YL006583709|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL006583709|ZA04CBH0205010303704|H3,43B3F24E6895475BA3EA1CD00FA74CE0|YL006583709|ZA04CBH0205010303704|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
tl_9701EFF559DF4862AF18CF0DC1B6962D|YL360115|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL360115|e55aab9b3ee754a3580eded051caa1c2|H3,9701EFF559DF4862AF18CF0DC1B6962D|YL360115|e55aab9b3ee754a3580eded051caa1c2|H3,default_tenant,2025-11,,relative_or_unavailable,available_in_source_features,,,risk band,hidden,monthly timeline placeholder generated from current batch
